institutes/id,institutes/name,institutes/type,institutes/numberOfCourses,institutes/score,institutes/identityLink,institutes/yearOfFoundation,institutes/numberOfStudents,institutes/numberOfDocents,institutes/numberOfProfessors
1,Academy of Visual Arts Frankfurt,Private Akademie,1,907,https://www.studycheck.de/hochschulen/ava,1957,150,30,
2,accadis Hochschule Bad Homburg,Private Fachhochschule,19,959,https://www.studycheck.de/hochschulen/accadis-h,1980,491,50,15
3,ADG Business School an der Steinbeis-Hochschule,Private Fachhochschule,8,980,https://www.studycheck.de/hochschulen/adg,2011,1200,,
4,ADK Baden-Württemberg,Staatliche Fachhochschule,4,,https://www.studycheck.de/hochschulen/adk-bw,2007,63,,
5,AdK Wien,Staatliche Akademie,8,,https://www.studycheck.de/hochschulen/akademie-wien,1692,1609,,
6,Agrarhochschule Wien,Staatliche Fachhochschule,9,,https://www.studycheck.de/hochschulen/agrar-wien,2007,616,,
7,Akademie der Bildenden Künste in Nürnberg,Staatliche Kunst- / Musikhochschule,5,,https://www.studycheck.de/hochschulen/adbk-nuernberg,1662,301,,15
8,Akademie der Bildenden Künste München,Staatliche Kunst- / Musikhochschule,6,,https://www.studycheck.de/hochschulen/adbk-muenchen,1808,744,,37
9,Akademie der Hochschule Biberach,Private Akademie,4,,https://www.studycheck.de/hochschulen/aka-biberach,1983,,,
10,Akademie der Polizei Hamburg,Staatliche Fachhochschule,1,,https://www.studycheck.de/hochschulen/akapol-hamburg,2013,759,,20
11,Akademie für Tonkunst,Private Akademie,3,,https://www.studycheck.de/hochschulen/aftd,1851,,,
12,Akademie für Unternehmensmanagement,Private Akademie,14,,https://www.studycheck.de/hochschulen/afum,2008,480,22,
13,Akademie Würth Business School,Private Akademie,1,,https://www.studycheck.de/hochschulen/wuerth,,,,
14,Akkon Hochschule für Humanwissenschaften,Private Fachhochschule,13,,https://www.studycheck.de/hochschulen/akkon-h,2009,930,,10
15,Alanus Hochschule für Kunst und Gesellschaft,Private Kunst- / Musikhochschule,25,975,https://www.studycheck.de/hochschulen/alanus-h,1973,1694,,69
16,Alice Salomon Hochschule,Staatliche Fachhochschule,13,867,https://www.studycheck.de/hochschulen/ash-berlin,1971,4248,,74
17,AMD Akademie Mode & Design,Private Fachhochschule,10,876,https://www.studycheck.de/hochschulen/amd,1989,2200,,17
18,Anton Bruckner Privatuniversität,Private Universität,152,,https://www.studycheck.de/hochschulen/bruckner-uni,1823,680,,
19,ASCENSO – Akademie für Business und Medien,Private Akademie,3,,https://www.studycheck.de/hochschulen/asc,,,36,7
20,Augustana-Hochschule,Kirchliche Fachhochschule,1,,https://www.studycheck.de/hochschulen/augustana-hs,1947,133,,8
21,Ausbildungsverbund Teltow e.V.,Private Akademie,1,,https://www.studycheck.de/hochschulen/avt,1991,,,
22,BA Lüneburg,Staatliche Akademie,2,,https://www.studycheck.de/hochschulen/ba-lueneburg,1948,,,
23,Bard College Berlin,Private Universität,2,,https://www.studycheck.de/hochschulen/ecla-bard,1999,243,17,3
