courses/id,courses/course_name,courses/uni_id,courses/degreeType,courses/isTeacherTraining,courses/identityLink,courses/standardPeriodOfStudy,courses/classroomLanguages
1,(Alt-)Griechisch,316,Master of Education,true,https://www.studycheck.de/studium/griechisch/hu-berlin-8667,4 Semester,Deutsch-Griechisch
2,(Musiktheater-)Regie,255,Master of Music,false,https://www.studycheck.de/studium/musiktheater/hfm-berlin-10394,4 Semester,Deutsch
3,(Musiktheater-)Regie,255,Bachelor of Music,false,https://www.studycheck.de/studium/regie/hfm-berlin-4877,8 Semester,Deutsch
4,(Quer-)Flöte,255,Master of Music,false,https://www.studycheck.de/studium/holzblasinstrumente/hfm-berlin-25740,4 Semester,Deutsch
5,(Quer-)Flöte,255,Konzertexamen,false,https://www.studycheck.de/studium/holzblasinstrumente/hfm-berlin-25741,4 Semester,Deutsch
6,(Quer-)Flöte,255,Bachelor of Music,false,https://www.studycheck.de/studium/holzblasinstrumente/hfm-berlin-4873,8 Semester,Deutsch
7,3D Animation for Film & Games,326,Master of Arts,false,https://www.studycheck.de/studium/animation/ifs-22992,4 Semester,Englisch
8,4D - Moderne Energiesysteme und Mobilität,210,Master of Engineering,false,https://www.studycheck.de/studium/elektrische-energiesysteme/hs-muenchen-27106,6 Semester,Deutsch
9,ACCESS - Advanced Computational and Civil Engineering Structural Studies,497,Master of Science,false,https://www.studycheck.de/studium/computational-studies/tu-dresden-8924,4 Semester,Englisch
10,AI Engineering,144,Master,false,https://www.studycheck.de/studium/digital-engineering/fh-technikum-28225,4 Semester,Deutsch
11,Abenteuer- und Erlebnispädagogik,541,Master of Arts,false,https://www.studycheck.de/studium/abenteuer-und-erlebnispaedagogik/uni-marburg-11784,4 Semester,Deutsch
12,Abfallwirtschaft und Altlasten,497,Master of Science,false,https://www.studycheck.de/studium/abfallwirtschaft-und-altlasten/tu-dresden-10975,4 - 8 Semester,Deutsch
13,Accessoire Design,293,Bachelor of Arts,false,https://www.studycheck.de/studium/edelstein-und-schmuckdesign/hs-pforzheim-1625,7 Semester,Deutsch
14,Accounting & Taxation,371,Master of Science,false,https://www.studycheck.de/studium/international-accounting-and-taxation/mabus-17628,6 Semester,Deutsch-Englisch
15,Accounting and Audit,300,Master of Arts,false,https://www.studycheck.de/studium/accounting/hs-trier-30614,4 Semester,Deutsch
16,Accounting and Auditing,543,Master of Science,false,https://www.studycheck.de/studium/accounting/uni-muenster-22647,7 Semester,Deutsch
17,Accounting and Finance,362,Bachelor of Science,false,https://www.studycheck.de/studium/finance-and-accounting/lancaster-uni-24424,6 Semester,Englisch
18,Accounting and Finance,539,Master of Science,false,https://www.studycheck.de/studium/accounting/uni-mainz-23188,4 Semester,Deutsch
19,Accounting and Finance,161,Master of Science,false,https://www.studycheck.de/studium/finance-and-accounting/frankfurtuas-18461,3 Semester,Deutsch-Englisch
20,Accounting and Finance,554,Master of Science,false,https://www.studycheck.de/studium/accounting/uni-tuebingen-1299,3 Semester,Deutsch-Englisch
21,Accounting and Taxation,224,Master of Arts,false,https://www.studycheck.de/studium/accounting/hs-bochum-21880,3 Semester,Deutsch
22,Accounting und Controlling,578,Master of Arts,false,https://www.studycheck.de/studium/accounting-and-controlling/westfaelische-hs-24162,4 Semester,Deutsch
23,"Accounting, Auditing and Taxation",224,Master of Arts,false,https://www.studycheck.de/studium/accounting/hs-bochum-674,4 Semester,Deutsch
24,"Accounting, Auditing and Taxation",526,Master of Science,false,https://www.studycheck.de/studium/steuern-und-rechnungslegung/uni-innsbruck-29320,4 Semester,Deutsch
25,"Accounting, Auditing and Taxation",551,Master of Science,false,https://www.studycheck.de/studium/accounting/uni-siegen-7991,4 Semester,Deutsch-Englisch
26,"Accounting, Controlling & Finance",145,Master of Arts,false,https://www.studycheck.de/studium/accounting-and-controlling/fh-vorarlberg-28291,4 Semester,Deutsch-Englisch
27,"Accounting, Controlling & Finance",140,Master of Arts,false,https://www.studycheck.de/studium/accounting/fh-muenster-9012,4 Semester,Deutsch-Englisch
28,"Accounting, Controlling, Taxation",79,Master of Arts,false,https://www.studycheck.de/studium/accounting-and-controlling/dhbw-19657,4 Semester,Deutsch
29,"Accounting, Finance, Controlling",242,Master of Science,false,https://www.studycheck.de/studium/finance-and-accounting/hs-fulda-19091,3 Semester,Deutsch-Englisch
30,"Accounting, Taxation and Finance",520,Master of Science,false,https://www.studycheck.de/studium/accounting/uni-halle-8884,4 Semester,Deutsch
31,Achtsamkeit,353,Master of Science,false,https://www.studycheck.de/studium/bildung-im-gesundheitswesen/kph-wien-27705,5 Semester,Deutsch
32,"Additive Fertigung (Technologie, Material, Design)",487,Bachelor of Science,false,https://www.studycheck.de/studium/verfahrenstechnik/tu-freiberg-24207,7 Semester,Deutsch
33,"Additive Fertigung - Werkstoffe, Entwicklung und Leichtbau",281,Bachelor of Engineering,false,https://www.studycheck.de/studium/fertigungstechnik/hs-landshut-25531,7 Semester,Deutsch
34,Additive Manufacturing and Lightweight Design,228,Master of Engineering,false,https://www.studycheck.de/studium/fertigungstechnik/hs-coburg-30552,3 Semester,Deutsch-Englisch
35,Advanced Architecture,161,Master of Science,false,https://www.studycheck.de/studium/architektur/frankfurtuas-23999,4 Semester,Englisch
36,Advanced Clinical Research,535,Master of Science,false,https://www.studycheck.de/studium/clinical-research/uni-linz-29474,1 Semester,Deutsch
37,Advanced Components: Werkstoffe für die Mobilität,487,Diplom,false,https://www.studycheck.de/studium/werkstofftechnik/tu-freiberg-12129,10 Semester,Deutsch
38,Advanced Design,210,Master of Arts,false,https://www.studycheck.de/studium/design/hs-muenchen-10092,3 Semester,Deutsch-Englisch
39,Advanced Functional Materials,490,Master of Science,false,https://www.studycheck.de/studium/materialwissenschaft/tu-chemnitz-23870,4 Semester,Englisch
40,Advanced General Dental Practice,510,Master of Science,false,https://www.studycheck.de/studium/zahnmedizin/uni-due-24315,4 Semester,Englisch
41,Advanced Green Engineering and Sustainable Management,580,Master of Engineering,false,https://www.studycheck.de/studium/nachhaltige-energie-und-umwelttechnologien/fh-zwickau-30769,3 Semester,Englisch
42,Advanced Management,217,Master of Science,false,https://www.studycheck.de/studium/management/hs-neu-ulm-9458,4 Semester,Deutsch-Englisch
43,Advanced Management,238,Master of Science,false,https://www.studycheck.de/studium/management/hs-emden-leer-27230,5 Semester,Deutsch-Englisch
44,Advanced Manufacturing,490,Master of Science,false,https://www.studycheck.de/studium/maschinenbau-neue-materialien/tu-chemnitz-22114,4 Semester,Englisch
45,Advanced Materials Analysis,487,Master of Science,false,https://www.studycheck.de/studium/materialwissenschaft/tu-freiberg-24210,4 Semester,Englisch
46,Advanced Materials Science,518,Master of Science,false,https://www.studycheck.de/studium/materialwissenschaft/uni-graz-27751,4 Semester,Englisch
47,Advanced Materials Science and Engineering,509,Master of Science,false,https://www.studycheck.de/studium/materialwissenschaft/uni-saarbruecken-8406,4 Semester,Deutsch-Englisch-Französisch-Spanisch
48,Advanced Materials and Manufacturing (Research Master),219,Master of Science,false,https://www.studycheck.de/studium/materialwissenschaft/htw-aalen-10396,3 Semester,Deutsch-Englisch
49,Advanced Materials and Processes,124,Master of Science,false,https://www.studycheck.de/studium/materialwissenschaft/uni-erlangen-7721,4 Semester,Deutsch-Englisch
50,Advanced Media Technology,296,Master of Engineering,false,https://www.studycheck.de/studium/medientechnik/hs-rheinmain-24252,3 Semester,Deutsch
51,Advanced Mineral Resources Development,487,Master of Science,false,https://www.studycheck.de/studium/mineralogie-und-materialwissenschaft/tu-freiberg-22055,4 Semester,Englisch
52,Advanced Nursing Counseling,129,Master,false,https://www.studycheck.de/studium/nursing-practice/campuswien-28989,4 Semester,Deutsch
53,Advanced Nursing Education,129,Master,false,https://www.studycheck.de/studium/pflegepaedagogik/campuswien-28990,4 Semester,Deutsch
54,Advanced Nursing Practice,210,Master of Science,false,https://www.studycheck.de/studium/nursing-practice/hs-muenchen-30623,5 Semester,Deutsch
55,Advanced Nursing Practice,501,Master of Science,false,https://www.studycheck.de/studium/nursing-practice/umit-tirol-28287,4 Semester,Deutsch
56,Advanced Nursing Practice,385,Bachelor of Science,false,https://www.studycheck.de/studium/nursing-practice/msh-hamburg-1263,6 - 9 Semester,Deutsch
57,Advanced Nursing Practice,405,Master of Science,false,https://www.studycheck.de/studium/nursing-practice/pmu-30723,4 Semester,Deutsch-Englisch
58,Advanced Nursing Practice,148,Master of Science,false,https://www.studycheck.de/studium/nursing-practice/fh-wienerneustadt-27457,4 Semester,Deutsch
59,Advanced Nursing Practice,138,Master,false,https://www.studycheck.de/studium/nursing-practice/fh-krems-27754,4 Semester,Deutsch
60,Advanced Nursing Practice,111,Master of Science,false,https://www.studycheck.de/studium/nursing-practice/eh-nuernberg-24025,3 Semester,Deutsch
